Title,Author,Year,Screening Status
"Risk factors for death among children with severe malaria, Ivukula sub-county, Namutumba district, Eastern Uganda, september 2021-february 2022.","Zalwango, Marie Gorreti",2024,Included
Circulating immune complexes and G6PD deficiency predict readmissions for blackwater fever and severe anemia in children with severe malaria in Eastern Uganda.,"Namazzi, Ruth",2024,Included
Immune Complexes in Blackwater Fever and Severe Malarial Anemia: New Insights from Old Forgotten Friends.,"Torres-Fernandez, David",2024,"Excluded: Editorials, commentaries, and opinion pieces without original data."
[Cardiovascular complications in malaria: a review].,"Li, Yu",2023,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
"PARIST study protocol: a phase I/II randomised, controlled clinical trial to assess the feasibility, safety and effectiveness of paracetamol in resolving acute kidney injury in children with severe malaria.","Paasi, George",2023,"Excluded: Studies that did not provide sufficient data to extract relevant information on population, prevalence, risk factors, clinical features, or outcomes."
Unusual clinical spectra of childhood severe malaria during malaria epidemic in eastern Uganda: a prospective study.,"Namayanja, Cate",2023,Included
"Severe malaria in Gabon: epidemiological, clinical and laboratory features in Amissa Bongo Hospital of Franceville.","Imboumy-Limoukou, Roméo Karl",2023,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Adherence to severe malaria treatment guidelines in children at a Ugandan regional hospital: a baseline assessment for a malaria treatment quality improvement project.,"Moffitt, Cynthia A",2023,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Hospital-based surveillance of severe paediatric malaria in two malaria transmission ecological zones of Burkina Faso.,"Tiono, Alfred B",2023,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Safety of single-dose primaquine as a Plasmodium falciparum gametocytocide: a systematic review and meta-analysis of individual patient data.,"Stepniewska, Kasia",2022,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
Childhood aplastic anaemia with paroxysmal nocturnal haemoglobinuria clones: A retrospective single-centre study in South Africa.,"Hendricks, Candice L",2022,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
Resurgence of blackwater fever among children in sub-Saharan Africa: a scoping review protocol.,"Paasi, George",2022,Excluded: Protocols or abstracts without full-text availability
Blackwater fever and acute kidney injury in children hospitalized with an acute febrile illness: pathophysiology and prognostic significance.,"Conroy, Andrea L",2022,Included
"Acute kidney injury, persistent kidney disease, and post-discharge morbidity and mortality in severe malaria in children: A prospective cohort study.","Namazzi, Ruth",2022,Included
Predictors of prolonged hospitalisation and mortality among children admitted with blackwater fever in eastern Uganda.,"Paasi, George",2022,Included
Incidence and predictors of hospital readmission in children presenting with severe anaemia in Uganda and Malawi: a secondary analysis of TRACT trial data.,"Connon, Roisin",2021,Included
Identifying prognostic factors of severe metabolic acidosis and uraemia in African children with severe falciparum malaria: a secondary analysis of a randomized trial.,"Mzumara, Grace",2021,Included
Severe Anemia Is Associated with Systemic Inflammation in Young Children Presenting to a Tertiary Hospital in Uganda.,"Opoka, Robert O",2020,Included
Polyethylene Oxide Molecular Size Determines the Severity of Atypical Thrombotic Microangiopathy in a Guinea Pig Model of Acute Intravenous Exposure.,"Baek, Jin Hyen",2020,Excluded: Studies involving animal models or in vitro experiments
[Hemoglobinuria in children hospitalized in Ouagadougou: short term inpatient care and prognosis].,"Savadogo, Hamidou",2019,"Excluded: Studies not published in English, as resources for translation were unavailable."
Exploring association between MBL2 gene polymorphisms and the occurrence of clinical blackwater fever through a case-control study in Congolese children.,"Bodi, Joseph M",2020,Included
Naphthalene induced acute kidney injury in an African patient in Ghana: a case report.,"Tannor, Elliot Koranteng",2019,"Excluded: Case reports involving fewer than five patients, unless they provided significant insights into the condition."
Blackwater Fever in Ugandan Children With Severe Anemia is Associated With Poor Postdischarge Outcomes: A Prospective Cohort Study.,"Opoka, Robert O",2020,Included
Risk factors for recurrent severe anemia among previously transfused children in Uganda: an age-matched case-control study.,"Dhabangi, Aggrey",2019,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Community perceptions of paediatric severe anaemia in Uganda.,"Dhabangi, Aggrey",2019,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
When a transfusion in an emergency service is not really urgent: hyperhaemolysis syndrome in a child with sickle cell disease.,"Chinchilla Langeber, Sara",2018,"Excluded: Case reports involving fewer than five patients, unless they provided significant insights into the condition."
High Frequency of Blackwater Fever Among Children Presenting to Hospital With Severe Febrile Illnesses in Eastern Uganda.,"Olupot-Olupot, Peter",2017,Included
Inhaled nitric oxide as adjunctive therapy for severe malaria: a randomized controlled trial.,"Hawkes, Michael T",2015,"Excluded: Studies that did not provide sufficient data to extract relevant information on population, prevalence, risk factors, clinical features, or outcomes."
"Severe malaria in children: A descriptive report from Kinshasa, the Democratic Republic of Congo.","Kunuanunua, Thomas S",2015,Included
[Blackwater fever (BWF) of late revelation about a case at the University Hospital of Dakar].,"Thiongane, Aliou",2015,"Excluded: Case reports involving fewer than five patients, unless they provided significant insights into the condition."
Black water fever associated with acute renal failure among Congolese children in Kinshasa.,"Bodi, Joseph M",2014,Included
"Prevalence and spectrum of illness among hospitalized adults with malaria in Blantyre, Malawi.","Segula, Dalitso",2014,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
"Malaria, clinical features and acute crisis in children suffering from sickle cell disease in resource-limited settings: a retrospective description of 90 cases.","Aloni, Michel Ntetani",2013,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
"Blackwater fever in Congolese children: a report of clinical, laboratory features and risk factors.","Bodi, Joseph M",2013,Included
"[Acute renal failure and severe malaria in Congolese children living in Kinshasa, Democratic Republic of Congo].","Kunuanunua, Thomas Sengua",2013,Included
"Haemoglobinuria among children with severe malaria attending tertiary care in Ibadan, Nigeria.","Ajetunmobi, Wasiu A",2012,Included
Acute renal failure in Congolese children: a tertiary institution experience.,"Aloni, Michel N",2012,Included
Predicting the clinical outcome of severe falciparum malaria in african children: findings from a large randomized trial.,"von Seidlein, Lorenz",2012,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
"Renal disease in adult Nigerians with sickle cell anemia: a report of prevalence, clinical features and risk factors.","Bolarinwa, R A",2012,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Distinct clinical and immunologic profiles in severe malarial anemia and cerebral malaria in Zambia.,"Thuma, Philip E",2011,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Artemisinin derivatives versus quinine for cerebral malaria in African children: a systematic review.,"Kyu, Hmwe Hmwe",2009,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
[Blackwater fever in children during cerebral malaria: 3 case reports in Bamako].,"Oumar, A A",2007,"Excluded: Case reports involving fewer than five patients, unless they provided significant insights into the condition."
[Evolution of severe pediatric malaria in Togo between 2000 and 2002].,"Gbadoé, A D",2006,Included
"Blackwater fever in children, Burundi.","Gobbi, Federico",2005,Included
[Severe malaria in native adults in Abidjan (Côte d'Ivoire)].,"Eholié, S P",2004,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
[Blackwater fever during antimalarial treatment in Abidjan (West Africa): report of 41 cases].,"Daubrey-Potey, Th",2004,Included
[Nine cases of falciparum malaria with blackwater fever in Mali].,"Shen, Wen-juan",2003,Excluded: Studies focusing on adults or non-pediatric populations.
Epidemiological and clinical aspects of blackwater fever among African children suffering frequent malaria attacks.,"Rogier, Christophe",2003,"Excluded: Case reports involving fewer than five patients, unless they provided significant insights into the condition."
Paroxysmal nocturnal hemoglobinuria arising from Fanconi anemia.,"Wainwright, Linda",2003,"Excluded: Case reports involving fewer than five patients, unless they provided significant insights into the condition."
Autoimmune haemolytic anaemia: pattern of presentation and management outcome in a Nigerian population: a ten-year experience.,"Salawu, L",2002,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Screening for paroxysmal nocturnal hemoglobinuria (PNH) clone in Egyptian children with aplastic anemia.,"Rizk, S",2002,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
[Severe malaria in expatriates in an intensive care unit in Abidjan (Ivory Coast)].,"Kouamé, K",2002,Excluded: Studies focusing on adults or non-pediatric populations.
Acute haemolysis in childhood falciparum malaria.,"Ekvall, H",2001,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
[Blackwater fever in adults with sickle cell anemia. Two fatal cases].,"Djibo, A",2000,Excluded: Studies focusing on adults or non-pediatric populations.
"[Severe forms of malaria in children in a general hospital pediatric department in Yaounde, Cameroon].","Tchokoteu, P F",1999,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
"Malaria prevalence and outcome in the in-patients of the Paediatric Department of the State Specialists Hospital (SSH), Maiduguri, Nigeria.","Gellert, S",1998,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
"An etiologic study of hemoglobinuria and blackwater fever in the Kivu Mountains, Zaire.","Delacollette, C",1995,Excluded: Full text article not available
Quantitative analysis of 1-naphthol in urine of neonates exposed to mothballs: the value in infants with unexplained anaemia.,"Owa, J A",1993,"Excluded: Studies that did not provide sufficient data to extract relevant information on population, prevalence, risk factors, clinical features, or outcomes."
Bilateral hydronephrosis from uretero-pelvic (U-P) obstruction: some clinico-pathological aspects.,"Ihezue, C",1991,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Haemoglobinuria due to typhoid and paratyphoid fever.,"Gelfand, M",1972,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Experience with urea in invert sugar for the treatment of cerebral malaria.,"Kingston, M E",1971,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Haemoglobinuria in Nigerian children.,"Ahmed, I",1971,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
Typhoid fever in African and Indian children in Durban.,"Scragg, J",1969,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Co-trimoxazole or multivitamin multimineral supplement for post-discharge outcomes after severe anaemia in African children: a randomised controlled trial,"Maitland, K",2019,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Safety of a single low-dose of primaquine in addition to standard artemether-lumefantrine regimen for treatment of acute uncomplicated Plasmodium falciparum malaria in Tanzania,"Mwaiswelo, R",2016,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Early bacteremia following allogeneic hematopoietic stem cell transplantation without antibiotic prophylaxis: epidemiology and antimicrobial resistance,"Abdeljelil, N.B.",2024,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Primaquine for uncomplicated Plasmodium vivax malaria in children younger than 15 years: a systematic review and individual patient data meta-analysis,"Commons, R.J.",2024,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
"Severe malaria burden, clinical spectrum and outcomes at Apac district hospital, Uganda: a retrospective study of routine health facility-based data","Ocen, E.",2023,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
Determinants of outcomes of childhood severe Malaria: A multi-centric study,"Adigun, M.B.",2023,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
ADHERENCE TO SEVERE MALARIA TREATMENT GUIDELINES IN CHILDREN AT A UGANDAN REGIONAL HOSPITAL,"Moffitt, C.",2023,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
Reducing the risk of Plasmodium vivax after falciparum infections in co-endemic areas—a randomized controlled trial (PRIMA),"Thriemer, K.",2022,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
